gbifID,species,decimalLatitude,decimalLongitude,phylumKey,classKey,orderKey,familyKey,geodeticDatum,eventDate,geometry
3983078288,Crepipatella dilatata,-43.710777,-72.815573,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815573 -43.710777)
3983078287,Crepipatella dilatata,-43.710777,-72.815573,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815573 -43.710777)
3983069392,Crepipatella dilatata,-43.710776,-72.815569,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815569 -43.710776)
3983069391,Crepipatella dilatata,-43.710776,-72.815562,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815562 -43.710776)
3983069394,Crepipatella dilatata,-43.710776,-72.815562,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.815562 -43.710776)
3983069393,Crepipatella dilatata,-43.710776,-72.81556,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.81556 -43.710776)
3983069410,Crepipatella dilatata,-43.710776,-72.81556,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.81556 -43.710776)
3983069408,Crepipatella dilatata,-43.710776,-72.81556,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.81556 -43.710776)
3983055445,Crepipatella dilatata,-43.726961,-72.816772,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.816772 -43.726961)
3983055422,Crepipatella dilatata,-43.726961,-72.816772,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.816772 -43.726961)
3983055419,Crepipatella dilatata,-43.726963,-72.816772,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.816772 -43.726963)
3983055472,Crepipatella dilatata,-43.726963,-72.816772,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.816772 -43.726963)
3983055474,Crepipatella dilatata,-43.726963,-72.816772,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.816772 -43.726963)
3983055489,Crepipatella dilatata,-43.726965,-72.816772,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.816772 -43.726965)
3983055484,Crepipatella dilatata,-43.726965,-72.816772,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.816772 -43.726965)
3983055454,Crepipatella dilatata,-43.726967,-72.816772,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.816772 -43.726967)
3983055471,Crepipatella dilatata,-43.72697,-72.816772,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.816772 -43.72697)
3983055466,Crepipatella dilatata,-43.72697,-72.816772,52,225,7390893,6764,WGS84,2020-12-01T00:00:00,POINT (-72.816772 -43.72697)
